Index,Column,ColumnLink,Values,Coverage,Type,Example,Description,Source,SourceLink,Definition,DefinitionLink
1,title,search.html?q=select+title%0D%0AnotMissing+title%0D%0AsortBy+title%0D%0Areverse,53,100%,string,Acupuncture,What is the title of this entity?,,,title.grammar,/grammar/title.grammar#L1
2,type,search.html?q=select+type%0D%0AnotMissing+type%0D%0AsortBy+type%0D%0Areverse,53,100%,enum,procedure,What kind of thing is this entity?,,,type.grammar,/grammar/type.grammar#L4
3,wikipedia,search.html?q=select+wikipedia%0D%0AnotMissing+wikipedia%0D%0AsortBy+wikipedia%0D%0Areverse,40,75%,url,https://en.wikipedia.org/wiki/,"What is the URL of this entity on Wikipedia, if and only if it has a page dedicated to it?",wikipedia.org,https://wikipedia.org,wikipedia.grammar,/grammar/wikipedia.grammar#L1
4,appeared,search.html?q=select+appeared%0D%0AnotMissing+appeared%0D%0AsortBy+appeared%0D%0Areverse,6,11%,integer,-100,What year did this first appear?,,,history.grammar,/grammar/history.grammar#L1
5,country,search.html?q=select+country%0D%0AnotMissing+country%0D%0AsortBy+country%0D%0Areverse,5,9%,unspecified,China,What country did this first appear in?,,,country.grammar,/grammar/country.grammar#L3
6,atlas,search.html?q=select+atlas%0D%0AnotMissing+atlas%0D%0AsortBy+atlas%0D%0Areverse,5,9%,url,https://wormatlas.org/,What is the URL to a brain atlas or virtual atlas for this species?,,,atlas.grammar,/grammar/atlas.grammar#L5
7,ebrains,search.html?q=select+ebrains%0D%0AnotMissing+ebrains%0D%0AsortBy+ebrains%0D%0Areverse,4,8%,url,https://www.ebrains.eu/tools/h,What is the URL to an EBrains atlas for this species?,ebrains.eu,https://ebrains.eu,ebrains.grammar,/grammar/ebrains.grammar#L1
8,brainMuseum,search.html?q=select+brainMuseum%0D%0AnotMissing+brainMuseum%0D%0AsortBy+brainMuseum%0D%0Areverse,4,8%,url,https://brainmuseum.org/specim,What is the URL to this species on BrainMuseum.org?,brainmuseum.org,https://brainmuseum.org,brainmuseum.grammar,/grammar/brainmuseum.grammar#L1
9,model,search.html?q=select+model%0D%0AnotMissing+model%0D%0AsortBy+model%0D%0Areverse,3,6%,multilineString,type microbe // https://en.wik,What is a representative of this model?,,,model.grammar,/grammar/model.grammar#L1
10,description,search.html?q=select+description%0D%0AnotMissing+description%0D%0AsortBy+description%0D%0Areverse,1,2%,string,A surgical intervention in whi,What is a short description of this thing?,,,description.grammar,/grammar/description.grammar#L1
11,reference,search.html?q=select+reference%0D%0AnotMissing+reference%0D%0AsortBy+reference%0D%0Areverse,1,2%,url,https://www.ncbi.nlm.nih.gov/p,What is a URL to a reference about this thing?,,,reference.grammar,/grammar/reference.grammar#L1
12,atlasPaper,search.html?q=select+atlasPaper%0D%0AnotMissing+atlasPaper%0D%0AsortBy+atlasPaper%0D%0Areverse,1,2%,url,https://www.ncbi.nlm.nih.gov/p,What is a URL to a paper about an atlas for this species?,,,atlas.grammar,/grammar/atlas.grammar#L7
